codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
27,3,2005-11-01,158,-,4,12.3,-,-,-,-,67,9.6,-,-,-,7.42,-,-,-,3,-,-,ND,ND,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.169,ND,-,0.017,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,783,-,6000.000
27,3,2005-12-01,171,-,7,13.9,-,-,-,-,72,9.0,-,-,-,8.00,-,-,-,4,-,-,ND,ND,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,0.002,0.243,ND,-,0.024,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,475,-,6000
27,3,2006-01-01,110.5,52.1,14,1.69,-,27.2,-,0.0,35,8.12,-,-,-,7.18,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.029,0.001,-,0.022,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,100,-,1200
27,3,2006-02-01,146,69.5,19,18.7,-,25.3,-,0.0,64,-,-,-,-,6.64,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.142,0.001,-,0.019,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,600,-,2800
27,3,2006-03-01,147.3,70.2,4,18.7,-,28,-,0.0,40,-,-,-,-,6.79,-,-,-,5,-,-,0.02,0.02,-,-,-,-,-,-,-,0.05,0.005,-,-,-,-,-,-,-,0.001,0.15,0.046,-,0.004,0,-,-,0.000,-,0.007,-,-,-,-,-,-,-,-,-,-,0.001,-,-,-,-,-,-,-,-,-,-,200,-,3300
27,3,2006-04-01,155.0,73.9,14,4,-,26.70,-,0.0,68,-,-,-,-,7.56,-,-,-,3,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,ND,0.001,-,0.008,0.00005,-,-,0.0002,-,0.011,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,0,-,3500
27,3,2006-05-01,146.6,69.9,26.4,6.0,-,28.5,-,0.0,85,-,-,-,-,7.32,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.003,0.027,0.005,-,0.004,0.0003,-,-,0.001,-,0.019,-,-,-,-,-,-,-,-,-,-,0.0003,-,-,-,-,-,-,-,-,-,-,28,-,4300
27,3,2006-06-01,149.1,71.1,10,5,-,26.9,-,0.0,87,-,-,-,-,7.58,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.068,0.005,-,0.004,0.0003,-,-,0.001,-,0.013,-,-,-,-,-,-,-,-,-,-,0.0003,-,-,-,-,-,-,-,-,-,-,0,-,700
27,3,2006-07-01,174,78.8,3,6.8,-,25.2,-,0.0,78,-,-,-,-,7.50,-,-,-,3,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.061,0.003,-,0.018,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,2420,-,2420
27,3,2006-08-01,173.6,82.9,8,4.9,-,26.7,-,0.0,78,-,-,-,-,7.59,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.084,0.001,-,0.005,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,100,-,4600
27,3,2006-09-01,193,90.9,1,2.7,-,28.5,-,0.0,92,-,-,-,-,7.39,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.036,0.001,-,0.008,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,200,-,12100
27,3,2006-10-01,191.7,91.7,8,4.8,-,27.5,-,0.0,93,-,-,-,-,7.25,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.54,0.001,-,0.011,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,400,-,11000
27,3,2006-11-01,193,92.3,11,4.9,-,27.4,-,0.0,86,-,-,-,-,7.38,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.005,0.001,-,0.006,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,800,-,9800
27,3,2006-12-01,159.9,76.3,5,11.3,-,26.2,-,0.0,69,-,-,-,-,7.41,-,-,-,8,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.145,0.001,-,0.012,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1000,-,4800
27,3,2007-01-01,122.8,58,34,13.5,-,26.8,-,0.0,53,-,-,-,-,6.51,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.342,0.001,-,0.028,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,900,-,1100
27,3,2007-02-01,151.4,75,15,1.06,-,25.1,-,0.0,168,-,-,-,-,7.10,-,-,-,1,-,-,0.009,-,-,-,-,-,-,-,-,-,0.006,-,-,-,-,-,-,-,0.0089,0.057,0.0019,-,0.023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00085,-,-,-,-,-,-,-,-,-,-,0,-,540
27,3,2007-03-01,162.8,78,8,1.27,-,27.1,-,0.0,176,-,-,-,-,8.17,-,-,-,2,-,-,0.008,-,-,-,-,-,-,-,-,-,0.003,-,-,-,-,-,-,-,0.0039,0.0707,0.0096,-,0.0048,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,0.00003,-,-,-,-,-,-,-,-,-,-,920,-,5400
27,3,2007-04-01,147.2,73.1,62,27.2,-,29.6,-,0.0,180,-,-,-,-,8.15,-,-,-,14,-,-,0.005,NA,-,-,-,-,-,-,-,NA,0.007,-,-,-,-,-,-,-,0.004,0.069,0.002,-,0.005,NA,-,-,0.0041,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,-,170
27,3,2007-05-01,141.8,70.3,38,16.0,-,29.3,-,0.2,144,-,-,-,-,8.07,-,-,-,6,-,-,NA,NA,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,NA,1.59,NA,-,0.055,0.00005,-,-,NA,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,-,5400
27,3,2007-06-01,166.9,79.7,1.7,2.05,-,31.5,-,0.0,176,-,-,-,-,7.83,-,-,-,8,-,-,NA,NA,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,0.1027,0.5819,NA,-,0.023,0.00005,-,-,NA,-,1.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16000,-,16000
27,3,2007-07-01,154.7,73.8,4,5.0,-,26.4,-,0.0,67,-,-,-,-,7.00,-,-,-,3,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.004,0.515,0.001,-,0.037,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00049,-,-,-,-,-,-,-,-,-,-,800,-,17600
27,3,2007-08-01,161.5,77.1,15,8.5,-,25.8,-,0.0,77,-,-,-,-,7.20,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.005,0.495,0.002,-,0.043,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00011,-,-,-,-,-,-,-,-,-,-,1100,-,3100
27,3,2007-09-01,180,85.9,7,3.9,-,26,-,0.0,64,-,-,-,-,6.90,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.004,0.193,0.001,-,0.049,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,200,-,800
27,3,2007-10-01,189.8,90.7,3,3.9,-,28.9,-,0.0,75,-,-,-,-,6.90,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.005,0.190,0.002,-,0.073,0.00005,-,-,0.0001,-,0.018,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,100,-,21200
27,3,2007-11-01,165.6,79.0,5,8.7,-,29.1,-,0.0,62,-,-,-,-,6.80,-,-,-,8,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.004,0.283,0.010,-,0.048,0.00005,-,-,0.0001,-,0.01,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,200,-,2700
27,3,2007-12-01,168.7,80.5,3,5.4,-,29.7,-,0.0,92,-,-,-,-,6.80,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.003,0.233,0.003,-,0.049,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,700,-,10800
27,3,2008-01-01,158,83.6,3,6.7,-,25.9,-,0.0,73,-,-,-,-,6.20,-,-,-,7,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.004,0.211,0.002,-,0.034,0.00005,-,-,0.0001,-,0.01,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,400,-,9600
27,3,2008-02-01,128.2,60.7,17,32.8,-,24.9,-,0.0,63,-,-,-,-,6.80,-,-,-,7,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.007,0.531,0.032,-,0.080,0.00005,-,-,0.0001,-,0.016,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1300,-,9700
27,3,2008-03-01,142.6,66.1,13,20.8,-,26.4,-,0.0,68,-,-,-,-,6.80,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.001,0.198,0.001,-,0.035,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1800,-,15800
27,3,2008-04-01,159.4,71.6,1,3.8,-,28,-,0.0,71,-,-,-,-,6.80,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.001,0.094,0.001,-,0.016,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,400,-,26400
27,3,2008-05-01,144.3,66.7,5,12.1,-,26.4,-,0.0,67,-,-,-,-,7.30,-,-,-,8,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.001,0.152,0.001,-,0.02,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,4500,-,30500
27,3,2008-06-01,150.7,71.8,2,4.2,-,25.1,-,0.0,62,-,-,-,-,7.70,-,-,-,2,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.001,0.203,0.001,-,0.03,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1300,-,22800
27,3,2008-07-01,171.3,77.3,1,3.2,-,27.8,-,0.0,77,-,-,-,-,7.60,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.002,0.084,0.001,-,0.021,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,2100,-,12400
27,3,2008-08-01,158.3,73.7,1,3.2,-,26.2,-,0.0,74,-,-,-,-,7.30,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.067,0.067,0.001,-,0.011,0.00005,-,-,0.0001,-,0.01,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,400,-,20100
27,3,2008-09-01,175.5,81.3,1.00,1.4,-,26.5,-,0.0,59,6.6,-,-,-,7.6,1.8,-,0.11,4,0.02,-,0.01,0.01,0.02,-,0.038,0.00,0.023,-,0.10,0.00,0.00,-,-,-,0.00,0.00,-,0.00,0.002,0.079,0.00,-,0.014,0.00005,0.00,0.00,0.00,-,0.006,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,5.00,10.00,5,0.002,0.02,-,-,-,100,-,11600
27,3,2008-10-01,199.3,46.9,1.00,2.4,-,30.2,-,0.0,93,-,-,-,-,7.10,-,-,-,5,-,-,0.01,0.01,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,-,-,0.042,0.123,0.00,-,0.029,0.00005,-,-,0.00,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,0,-,2500
27,3,2008-11-01,184.1,83.7,1.00,2.9,-,27.8,-,0.0,94,-,-,-,-,7.80,-,-,-,5,-,-,0.01,0.01,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,-,-,0.471,0.179,0.00,-,0.016,0.00005,-,-,0.00,-,0.01,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1600,-,7200
27,3,2008-12-01,162.3,76.1,1,4,-,26.0,-,0.0,78,5.5,-,-,-,6.90,3,-,0.09,5,0.002,-,0.01,0.01,0.02,-,0.048,0.00,0.013,-,0.1,0.00,0.00,-,-,-,0.00,0.00,-,0.00,0.499,0.110,0.002,-,0.023,0.00005,0.00,0.00,0.00,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,5.00,10.00,5,0.002,0.01,-,-,-,1400,-,14900
27,3,2009-01-01,178.7,81.1,1,1.5,-,27.5,-,0.0,86,-,-,-,-,8.20,-,-,-,5,-,-,0.01,0.01,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,-,-,0.009,0.114,0.001,-,0.023,0.00005,-,-,0.00,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,100,-,25900
27,3,2009-02-01,168,78.5,1,1.9,-,26.2,-,0.0,51,-,-,-,-,7.40,-,-,-,4,-,-,0.01,0.01,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,-,-,0.007,0.101,0.001,-,0.017,0.00005,-,-,0.00,-,0.006,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,700,-,28100
27,3,2009-03-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,3,2009-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,3,2009-05-01,140.0,70.6,2,6.3,-,27.9,-,0.0,73,-,-,-,-,7.20,2.4,-,0.07,4,0.002,-,0.01,0.01,0.02,-,0.054,0.00,0.01,-,0.1,-,0.00,-,-,-,0.020,0.01,-,0.020,0.019,0.12,0.001,-,0.024,0.00005,0.03,0.005,0.00,-,0.008,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,5,0.002,0.01,-,-,-,1900,-,8000
27,3,2009-06-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,3,2009-07-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,3,2009-08-01,180.0,96.0,1,1.7,-,32.2,-,0.0,-,-,-,-,-,8.43,3.2,-,0.11,5,0.02,0.005,0.005,0.005,0.02,-,0.016,0.001,0.059,-,0.022,-,0.0005,-,-,-,0.000,0.010,-,0.001,0.005,0.08,0.001,-,0.016,0.00002,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.022,0.01,-,-,-,-,89,2420
27,3,2009-09-01,192,102,1,2.2,-,31.9,-,0.0,-,-,-,-,-,8.53,3.5,-,0.10,6,0.02,0.005,0.005,-,0.02,-,0.035,0.001,0.054,-,0.025,-,0.0005,-,-,-,0.0001,0.01,-,0.001,0.005,0.13,0.001,-,0.025,0.00002,-,0.0005,0.0001,-,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.001,0.01,-,-,-,-,36,2420
27,3,2009-10-01,194,103.0,2,2.1,-,31.2,-,0.0,-,-,-,-,-,8.42,3.8,-,0.1,7,0.02,0.005,0.005,-,0.02,-,0.013,0.001,0.412,-,-,-,0.0006,-,-,-,-,-,-,-,0.005,0.12,0.001,-,0.027,0.000,-,-,0.000,-,0.005,0.184,-,0.0001,0.01,-,0.001,-,-,-,0.0005,-,-,-,5,12,5,0.001,0.01,-,-,-,-,57,2420.000
27,3,2009-11-01,182,93.0,1,0.9,-,28.7,-,0.0,-,-,-,-,-,8.27,3.7,-,0.10,8,0.02,0.005,0.005,-,0.02,-,0.037,0.001,0.070,-,-,-,0.0006,-,-,-,-,-,-,-,0.005,0.11,0,-,0.020,0.00005,-,-,0,-,0.005,0.075,-,0.0001,0.01,-,0.001,-,-,-,0.0005,-,-,-,5,10,5,0.005,0.01,-,-,-,-,238,4840.000
27,3,2009-12-01,159,81,6,7,-,29.4,-,0.0,-,-,-,-,-,8.30,3.2,-,0.12,4,0.02,0.005,0.005,-,0.03,-,0.089,0.001,0.066,-,-,-,0.001,-,-,-,-,-,-,-,0.005,0.03,0,-,0.016,0.000,-,-,0.001,-,0.01,0.011,-,0.0001,0.0001,-,0.001,-,-,-,0.001,-,-,-,5,10,5,0.001,0.02,-,-,-,-,54,4840.000
27,3,2010-01-05,150,105,8,5.4,-,25.6,-,0.0,-,-,-,-,-,8.17,3.6,-,0.11,4,0.02,0.005,0.005,-,0.02,-,0.100,0.001,0.070,-,-,-,0.0005,-,-,-,-,-,-,-,0.006,0.20,0.006,-,0.024,0.00002,-,-,0,-,0.015,0.105,-,0.0001,0.01,-,0.001,-,-,-,0.0005,-,-,-,5,10,5,0.001,0.01,-,-,-,-,1030,4840.000
27,3,2010-02-03,147,103,11,8.5,-,27.0,-,0.0,-,-,-,-,-,8.05,3.0,-,0.12,5,0.02,0.005,0.005,-,0.10,-,0.286,0.002,0.068,-,-,-,0.0009,-,-,-,-,-,-,-,0.005,0.08,0.001,-,0.022,0.00004,-,-,0.0001,-,0.005,0.345,-,0.0001,0.01,-,0.001,-,-,-,0.0005,-,-,-,5,10,5,0.001,0.01,-,-,-,-,4840.000,4840.000
27,3,2010-03-02,155,109,2,2.1,-,29.8,-,0.0,-,-,-,-,-,8.45,2.9,-,0.1,6,0.02,0.005,0.005,-,0.04,-,0.036,0.001,0.068,-,-,-,0.0005,-,-,-,-,-,-,-,0.005,0.03,0.001,-,0.008,0.00002,-,-,0.0001,-,0.005,0.051,-,0.0001,0.01,-,0.001,-,-,-,0.0005,-,-,-,5,10,5,0.001,0.01,-,-,-,-,98,4840
27,3,2010-04-06,147.0,103.0,10,16.8,-,26.8,-,0.0,-,-,-,-,-,8.09,3.5,-,0.14,5,0.02,0.005,0.005,0.005,0.02,-,0.262,0.002,0.052,-,-,-,0.0005,-,-,-,0.0001,-,-,-,0.005,0.11,0.004,-,0.005,0.00004,0.001,-,0.0001,-,0.014,0.115,-,0.0001,0.01,-,0.001,-,-,-,0.0005,0.00005,-,-,5,10,5,0.001,0.01,-,-,-,-,1640,4840
27,3,2010-05-04,153.0,107.0,1,2.1,-,27.8,-,0.0,-,-,-,-,-,8.27,3.4,-,0.10,3,0.02,0.005,0.005,0.005,0.02,-,0.136,0.001,0.06,-,-,-,0.0005,-,-,-,0.0001,-,-,-,0.005,0.03,0.001,-,0.005,0.000,0.001,-,0.0001,-,0.005,0.116,-,0.0001,0.01,-,0.001,-,-,-,0.0005,0.00003,-,-,5,10,5,0.001,0.01,-,-,-,-,1740,4840
