codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
46,3,2011-12-02,194,136,13,-,-,27.5,-,-,-,5.15,-,-,-,8.3,3.4,-,0.14,4,<   0.02,<   0.005,<   0.005,<   0.005,0.02,-,0.028,0.002,0.008,-,0.218,-,<   0.0005,-,-,-,<   0.0001,-,<   0.01,<   0.001,<   0.005,0.22,<   0.001,-,0.032,<  0.00005,<   0.001,-,<   0.0001,-,0.006,2.02,0.0005,<   0.0001,<   0.01,-,<   0.001,<   0.005,-,<   0.001,<   0.0005,0.00008,0.001,0.011,<   2,<  10,<   5,<   0.001,<   0.01,-,-,-,-,220,>4840
46,3,2012-01-03,207,145,10,-,-,27.8,-,-,-,6.6,77,-,-,7.9,3.3,-,0.16,3,<   0.02,<   0.005,<   0.005,<   0.005,<   0.02,-,0.013,0.003,0.046,-,0.114,<   0.0005,<   0.0005,-,-,-,<   0.0001,-,<   0.01,<   0.001,<   0.005,0.2,<   0.001,-,0.2,<  0.00005,<   0.001,-,<   0.0001,9.03,<   0.005,0.856,0.0005,<   0.0001,<   0.01,-,<   0.001,<   0.005,-,<   0.001,<   0.0005,0.00011,<   0.001,0.005,<   2,<  10,<   5,<   0.001,<   0.01,-,-,-,-,580,>4840
46,3,2012-02-02,191.1,29,16,-,-,26.5,-,-,-,6.8,86,-,-,8.51,-,-,-,<   2,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,<   0.0001,<   0.001,-,-,<   0.005,-,<   0.001,-,-,0.00008,<   0.001,-,-,-,<   0.005,-,<   0.0005,0.0002,-,<   0.001,-,<   0.005,0.72,<   0.001,-,0.00009,<   0.001,<   0.005,<   2,11,<   5,<   0.001,NA,-,-,-,-,-,-
46,3,2012-03-03,190.6,117,1080,-,-,28,-,-,-,6.39,70,-,-,7.22,-,-,-,11,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.001,-,-,-,<   0.0001,<   0.001,-,-,<   0.005,-,<   0.001,-,-,<  0.00005,<   0.001,-,-,-,<   0.005,-,<   0.001,<   0.0001,-,0.006,-,0.049,14.5,0.003,-,<  0.00005,0.003,0.03,14,46,<   5,<   0.001,NA,-,-,-,-,-,-
46,3,2012-04-02,234,149,17,-,-,-,-,-,-,9.2,84,-,-,7.62,-,-,-,9,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,0.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-05-02,235,159,62,-,-,27.9,-,-,-,6.49,82,-,-,7.9,-,-,-,22,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-06-02,210,147,26,-,-,31,-,-,-,4.62,93,-,-,7.88,1.5,-,0.15,21,<   0.02,<   0.005,<   0.005,<   0.005,0.03,-,0.059,0.002,0.037,-,0.034,-,<   0.001,-,-,-,<   0.0001,-,<   0.01,<   0.001,<   0.005,0.13,<   0.001,-,<   0.005,<  0.00005,-,<   0.0005,<   0.001,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,<   2,<  10,<   5,<   0.001,<   0.01,-,-,-,-,1380,>4840
46,3,2012-07-02,195.9,158,34,-,-,29.2,-,-,-,6.62,-,-,-,7.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0006,-,-,-,<   0.0001,<   0.001,-,-,<   0.005,-,<   0.001,-,-,<  0.00005,<   0.001,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-08-01,249,185,22,-,-,27.8,-,-,-,5.95,104,-,-,8.03,-,-,-,6,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-09-03,254,181,30,-,-,26.1,-,-,-,6.05,116,-,-,7.36,-,-,-,6,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,0.0009,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,0.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
