id,user_id,point_id,standard_id,date,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,4,8,2021-09-16,12:13 PM,12,17,16,1.75,0.922,1.458,2.066,74.8,Alaskar,Bright,NB/BK,-
1,1,4,8,2021-09-20,12:09 PM,11,24,15,1.466,0.788,1.08,1.53,58.5,Alaskar,Bright,HM/FP/FR,-
1,1,4,8,2021-09-21,12:02 PM,10,18,13,1.04,0.323,0.638,1.186,49.5,Alaskar,Bright,FK/PP,-
1,1,4,8,2021-10-20,12:39 PM,13,11,8.7,2.932,1.009,1.663,3.228,69.6,Alaskar,Bright,FK/PP,-
1,1,4,8,2021-10-21,11:58 AM,18,18,18,0.678,0.394,0.646,0.748,67.6,Alaskar,Bright,FK/JK,-
1,1,4,8,2021-10-22,12:22 PM,13,20,18,1.348,0.843,1.474,1.599,58.5,Alaskar,Bright,BK,-
1,1,4,8,2021-10-26,12:02 PM,16,8.8,14,1.356,0.717,1.419,1.592,49.9,Alaskar,Bright,BK,-
1,1,4,8,2021-10-29,1:15 PM,14,18,13,3.129,1.316,3.098,3.465,58.5,Alaskar,Bright,BK/FP/FR,-
1,1,4,8,2021-10-30,12:09 PM,14,5,14,2.325,1.482,2.635,2.528,61.6,Alaskar,Bright,FR/PP,-
1,1,4,8,2021-10-30,12:12 PM,3.3,3.9,5.1,0.497,0.323,1.064,1.123,68.6,Alaskar,Bright,FR/PP,-
1,1,4,8,2021-11-03,12:20 PM,12,12,9,0.497,0.607,0.544,0.783,69.1,Alaskar,Bright,FK/BK,-
1,1,4,8,2021-11-05,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-11-06,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-11-09,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-11-10,12:04 PM,22,32,17,0.3,0.2,0.3,0.3,66.6,Alaskar,Bright,FK/PP,-
1,1,4,8,2021-11-11,1:29 PM,12,11,8.8,1.9,1.5,1.6,2.1,66.9,Alaskar,Bright,FK/BK,-
1,1,4,8,2021-11-15,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,FK/BK,-
1,1,4,8,2021-11-18,11:32 AM,13,13,17,0.5,0.3,0.7,0.7,61.6,Alaskar,Bright,BK/FP/NB,-
1,1,4,8,2021-11-19,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,BK/FP/NB,-
1,1,4,8,2021-11-22,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,BK/FP/NB,-
1,1,4,8,2021-11-23,11:56 AM,16,14,13,0.4,0.3,0.5,0.6,73.8,Alaskar,Bright,BK/FP/NB,-
1,1,4,8,2021-11-24,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-11-25,12:05 PM,7.2,11,5.8,0.7,0.4,0.7,0.9,63.9,Alaskar,Bright,BK/FK/JK,-
1,1,4,8,2021-11-26,12:23 PM,15,19,14,0.7,0.6,1,1,62.2,Alaskar,Bright,FP,-
1,1,4,8,2021-11-28,12:12 PM,8.3,16,4.9,0.6,0.5,0.6,0.8,58.2,Alaskar,Bright,FP/HM,-
1,1,4,8,2021-11-29,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-11-30,12:12 PM,9,20,6.8,0.9,0.7,0.7,1.1,56.5,Alaskar,Bright,BK,-
1,1,4,8,2021-12-01,12:02 PM,7.5,20,8.7,1.5,0.7,1.4,1.5,54.8,Alaskar,Bright,HM/FR/FP,-
1,1,4,8,2021-12-03,11:57 AM,7.6,13,11,0.5,0.3,0.4,0.6,66.9,Alaskar,Bright,BK/NB,-
1,1,4,8,2021-12-04,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2021-12-06,12:07 PM,8.3,12,12,0.7,0.7,0.7,0.9,61.7,Alaskar,Bright,FP/NB,-
1,1,4,8,2021-12-07,12:35 PM,8.1,16,9.7,1.1,1.1,1.4,1.4,64.2,Alaskar,Bright,FP/HM,-
1,1,4,8,2021-12-09,12:13 PM,14,17,9.8,2.4,2.7,3.3,3.5,63.2,Alaskar,Bright,NBHM,-
1,1,4,8,2021-12-13,12:10 PM,13,20,9.5,2.8,2.6,3,4.1,61.3,Alaskar,Bright,FR,-
1,1,4,8,2021-12-16,12:17 PM,20,21,16,2.3,1.7,1.8,2.4,57.8,Alaskar,Bright,NB/HM,-
1,1,4,8,2021-12-20,12:17 PM,20,22,18,2.1,1.9,2.2,2.4,53.8,Alaskar,Bright,FR/PP,-
1,1,4,8,2021-12-23,12:19 PM,11,9.1,9.1,0.9,0.5,1,1.2,65.2,Alaskar,Bright,HM/JK,-
1,1,4,8,2021-12-28,2:04 PM,17,11,11,0.6,0.7,0.7,0.8,69.3,Alaskar,Bright,FR,-
1,1,4,8,2022-01-03,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-01-04,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-01-05,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-01-10,1:00 PM,9,20,13,1,0.5,0.9,1.1,56.5,Alaskar,Bright,FP/HM,-
1,1,4,8,2022-01-11,1:11 PM,17,15,17,0.8,0.3,0.5,0.8,74,Alaskar,Bright,FR/BK,-
1,1,4,8,2022-01-14,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-01-15,11:50 AM,24,51,8.5,1.5,0.3,0.9,1.5,Not Applicable,Alaskar,Bright,BK/JK,-
1,1,4,8,2022-01-20,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-01-29,12:07 PM,34,20,34,2.7,1.6,1.3,3.2,61.1,Alaskar,Bright,FP/FR,-
1,1,4,8,2022-02-22,1:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-03-05,12:00 PM,12.6,93,24,0.5,0.6,0.6,0.8,57.8,Alaskar,Bright,FR/HM,-
1,1,4,8,2022-04-02,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-04-04,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-04-07,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-04-08,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-04-12,12:30 PM,64,120,89,1.4,0.7,1.4,1.5,63.7,Alaskar,Bright,FP/HM,-
1,1,4,8,2022-04-13,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-04-22,12:37 PM,293,186,228,0.3,0.4,0.7,0.7,75.7,Alaskar,Bright,BK/JK,-
1,1,4,8,2022-04-25,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-05-05,12:27 PM,186,76,205,0.7,0.5,0.7,0.8,60.8,Alaskar,Bright,NB/BK,-
1,1,4,8,2022-05-10,12:04 PM,6.2,8.1,6,0.6,0.2,0.7,0.8,69.4,Alaskar,Bright,FP/NB,-
1,1,4,8,2022-05-23,12:43 PM,14.1,11.7,5.6,0.2,0.1,0.2,0.2,78,Alaskar,Bright,HM/FP,-
1,1,4,8,2022-06-03,12:35 PM,6.3,7.6,4.6,0.8,0.3,0.8,0.8,93.5,Alaskar,Bright,FR/PP,-
1,1,4,8,2022-06-07,12:32 PM,8.2,5.9,4.8,1.2,0.3,1.2,1.3,65,Alaskar,Bright,BK/FK,-
1,1,4,8,2022-06-08,12:33 PM,7.6,7,5.3,5.1,1.8,4.3,5.5,71.7,Alaskar,Bright,BK/HM,-
1,1,4,8,2022-06-11,12:53 PM,256,171,205,0.2,0.2,0.4,0.4,74.8,Alaskar,Bright,HM/FP,-
1,1,4,8,2022-06-14,12:34 PM,5.8,7.8,7,0.7,0.2,0.5,0.7,58,Alaskar,Bright,JK/BK,-
1,1,4,8,2022-06-16,1:01 PM,7.8,8.1,6.8,1.3,0.5,1.2,1.4,67.3,Alaskar,Bright,JK/BK,-
1,1,4,8,2022-06-18,12:28 PM,6.8,37.9,6.1,0.5,0.3,0.5,0.5,Eror,Alaskar,Bright,HM/FR,-
1,1,4,8,2022-06-22,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-06-24,12:17 PM,137,102,128,0.9,1.9,0.6,2,Eror,Alaskar,Bright,HM/FR,-
1,1,4,8,2022-06-27,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-06-29,12:30 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,Bright,-,-
1,1,4,8,2022-07-01,12:29 PM,293,186,256,0.7,0.4,0.1,0.8,50.1,Alaskar,Bright,HM/FR,-
1,1,4,8,2022-07-02,12:35 PM,26.3,14.7,4.3,0.4,0.3,0.6,0.6,108.8,Alaskar,Bright,FR/FP,-
1,1,4,8,2022-07-08,12:42 PM,9.2,11.4,5.1,1.1,0.4,1,1.1,59.8,Alaskar,Bright,FR/FP,-
1,1,4,8,2022-07-13,11:55 AM,7,186,8.1,0.4,0.2,0.3,0.4,125.3,Alaskar,Cloudy,BK/FR,Suara bertepatan dengan petir
1,1,4,8,2022-07-14,12:20 PM,5.3,5.3,3.4,1.8,0.9,2,2.3,65.9,Alaskar,-,BK/FR,-
1,1,4,8,2022-07-18,12:11 PM,59,40,21.3,0.2,0.2,0.1,0.2,83.1,Alaskar,-,BK/NB,-
1,1,4,8,2022-07-21,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,-,-,-
1,1,4,8,2022-07-23,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,-,-,-
1,1,4,8,2022-07-27,11:56 AM,24,34,26,0.2,0.2,0.2,0.2,51.5,Alaskar,-,HM/FP,-
1,1,4,8,2022-07-30,12:08 PM,16,28,28,0.3,0.2,0.2,0.3,57.1,Alaskar,-,BK/FP,-
1,1,4,8,2022-08-02,12:05 PM,21,47,37,0.7,0.6,0.4,0.8,52.4,Alaskar,-,BK/HM,-
1,1,4,8,2022-08-03,12:13 PM,51,73,43,0,0,0.1,0.1,72.3,Alaskar,-,BK/HM,-
1,1,4,8,2022-08-08,12:00 PM,7.3,6.2,4.7,0.4,0.3,0.4,0.5,68.6,Alaskar,-,FK/JK/PP,-
1,1,4,8,2022-08-13,12:00 PM,No Sampling,No Sampling,No Sampling,No Sampling,No Sampling,No Sampling,No Sampling,No Sampling,Alaskar,-,-,-
1,1,4,8,2022-08-22,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,-,-,-
1,1,4,8,2022-08-27,11:53 AM,9.8,8.7,13,0.2,0.2,0.2,0.2,96.9,Alaskar,-,BK/NB,-
1,1,4,8,2022-08-29,12:00 PM,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,No Trigered,Alaskar,-,-,-
1,1,4,8,2022-08-30,11:59 AM,8,8.3,10,0.2,0.2,0.2,0.2,57.5,Alaskar,-,HM/FP,-
